TimestampUtc,MachineID,MachineType,MachineAgeYears,MachineTotalEngineHours,OperatorID,OperatorSkillLevel,OperatorExperienceYears,ShiftType,TaskID,FuelUsedL,FuelLevelPercent,LoadCycles,IdlingTimeMin,ActiveTimeMin,EngineTemperatureC,HydraulicPressureBar,VibrationLevel,TiltAngleDeg,ProximityDistanceM,ProximityHazardTriggered,SeatbeltStatus,SafetyAlertTriggered,AlertType,WeatherCondition,AmbientTemperatureC,SiteZoneID
2025-05-01 00:00:00,EXC001,Excavator,7,1759.87,OP005,Intermediate,3,Night,T00002,8.72,84.56,9,25.85,102.17,79.83,223.75,2.77,3.85,8.80,No,Fastened,No,None,Cloudy,19.08,Zone-A
2025-05-01 02:00:00,EXC001,Excavator,7,1761.87,OP020,Intermediate,6,Night,T00003,7.23,80.22,4,22.87,86.11,74.08,227.46,4.69,1.24,13.43,No,Fastened,No,None,Cloudy,19.08,Zone-A
2025-05-01 04:00:00,EXC001,Excavator,7,1763.87,OP017,Intermediate,6,Night,T00004,7.20,75.90,4,26.74,88.21,76.80,225.30,5.48,0.61,7.87,No,Unfastened,Yes,Seatbelt,Cloudy,19.08,Zone-A
2025-05-01 06:00:00,EXC001,Excavator,7,1765.87,OP005,Intermediate,3,Day,T00005,8.65,70.71,9,19.20,108.53,82.56,214.63,4.04,0.97,0.20,Yes,Fastened,Yes,Proximity,Cloudy,19.08,Zone-A
2025-05-01 08:00:00,EXC001,Excavator,7,1767.87,OP008,Beginner,0,Day,T00006,5.12,67.64,10,56.09,54.08,75.27,215.86,4.22,1.04,7.23,No,Fastened,No,None,Cloudy,19.08,Zone-A
2025-05-01 10:00:00,EXC001,Excavator,7,1769.87,OP011,Intermediate,3,Day,T00007,6.61,63.68,2,25.64,92.19,76.91,231.31,1.23,1.43,25.37,No,Fastened,No,None,Cloudy,19.08,Zone-A
2025-05-01 12:00:00,EXC001,Excavator,7,1771.87,OP005,Intermediate,3,Day,T00008,7.79,59.00,13,16.03,101.17,74.24,228.79,3.04,3.21,0.20,Yes,Fastened,Yes,Proximity,Cloudy,19.08,Zone-A
2025-05-01 14:00:00,EXC001,Excavator,7,1773.87,OP020,Intermediate,6,Day,T00009,9.50,53.30,7,22.34,111.97,77.04,214.62,2.91,0.32,9.88,No,Fastened,No,None,Cloudy,19.08,Zone-A
2025-05-01 16:00:00,EXC001,Excavator,7,1775.87,OP010,Beginner,0,Day,T00010,8.15,48.42,4,33.02,91.50,75.19,211.33,3.19,0.98,11.73,No,Fastened,No,None,Cloudy,19.08,Zone-A
2025-05-01 18:00:00,EXC001,Excavator,7,1777.87,OP008,Beginner,0,Night,T00011,6.14,44.73,1,55.03,70.19,78.61,207.56,3.37,0.61,0.20,Yes,Fastened,Yes,Proximity,Cloudy,19.08,Zone-A
2025-05-01 20:00:00,EXC001,Excavator,7,1779.87,OP012,Beginner,2,Night,T00012,7.28,40.36,6,35.85,90.32,78.67,224.78,4.08,0.49,19.48,No,Fastened,No,None,Cloudy,19.08,Zone-A
2025-05-01 22:00:00,EXC001,Excavator,7,1781.87,OP015,Expert,9,Night,T00013,8.44,35.30,11,25.86,90.34,80.21,211.96,2.84,0.54,11.33,No,Fastened,No,None,Cloudy,19.08,Zone-A
2025-05-02 00:00:00,EXC001,Excavator,7,1783.87,OP018,Intermediate,4,Night,T00014,6.97,31.12,9,26.19,85.09,80.20,238.24,3.79,0.88,16.04,No,Fastened,No,None,Windy,16.59,Zone-A
2025-05-02 02:00:00,EXC001,Excavator,7,1785.87,OP007,Intermediate,3,Night,T00015,7.44,26.65,10,37.53,83.18,76.39,220.88,3.30,0.48,11.54,No,Fastened,No,None,Windy,16.59,Zone-A
2025-05-02 04:00:00,EXC001,Excavator,7,1787.87,OP009,Beginner,2,Night,T00016,7.76,22.00,4,35.47,81.74,80.85,225.13,0.51,1.22,12.18,No,Unfastened,Yes,Seatbelt,Windy,16.59,Zone-A
2025-05-02 06:00:00,EXC001,Excavator,7,1789.87,OP003,Beginner,2,Day,T00017,7.84,17.29,4,23.18,97.55,77.28,198.41,4.32,0.20,16.24,No,Fastened,No,None,Windy,16.59,Zone-A
2025-05-02 08:00:00,EXC001,Excavator,7,1791.87,OP018,Intermediate,4,Day,T00018,8.56,74.50,7,22.31,109.38,78.74,219.66,2.95,0.92,14.97,No,Fastened,No,None,Windy,16.59,Zone-A
2025-05-02 10:00:00,EXC001,Excavator,7,1793.87,OP001,Beginner,0,Day,T00019,5.62,71.13,12,38.01,64.90,81.42,194.09,5.03,2.04,0.20,Yes,Fastened,Yes,Proximity,Windy,16.59,Zone-A
2025-05-02 12:00:00,EXC001,Excavator,7,1795.87,OP018,Intermediate,4,Day,T00020,7.15,66.84,9,24.69,94.73,77.35,226.28,0.77,1.43,12.50,No,Fastened,No,None,Windy,16.59,Zone-A
