TaskID,TaskType,MachineID,MachineType,MachineAgeYears,OperatorID,OperatorSkillLevel,OperatorExperienceYears,WeatherCondition,AmbientTemperatureC,HumidityPercent,WindSpeedKph,SiteTerrainType,MaterialType,LoadVolumeM3,DistanceCoveredM,TimeOfDay,ShiftHoursElapsed,NumberOfBreaks,PriorTaskDelayMin,IdlingDuringTaskMin,FuelConsumedDuringTaskL,EstimatedTimeMin,ActualTimeMin,SafetyIncidentDuringTask
T00001,Trenching,BLD001,Bulldozer,2,OP004,Beginner,1,Sunny,23.93,58.87,4.76,Hilly,Soil,26.65,466.03,Afternoon,2.10,0,11.08,10.42,3.55,51.75,73.08,No
T00002,Grading,GRD001,Grader,6,OP017,Intermediate,6,Cloudy,18.96,42.70,5.59,Rocky,Soil,56.11,25.32,Morning,1.28,2,6.25,5.35,3.07,42.26,47.96,No
T00003,Trenching,GRD001,Grader,6,OP017,Intermediate,6,Rainy,13.92,74.70,0.41,Sandy,Debris,41.72,484.91,Evening,6.06,0,0.00,9.06,4.19,56.92,68.03,No
T00004,Material Loading,BLD001,Bulldozer,2,OP015,Expert,9,Cloudy,15.28,31.54,22.40,Muddy,Rock,22.38,200.85,Afternoon,4.87,2,11.98,1.71,2.38,37.80,41.06,No
T00005,Material Loading,CRN002,Crane,6,OP018,Intermediate,4,Sunny,15.85,30.07,9.37,Sandy,Debris,51.71,203.61,Evening,3.31,0,10.33,0.00,2.67,33.00,42.86,No
T00006,Demolition,BLD003,Bulldozer,5,OP003,Beginner,2,Cloudy,21.66,26.65,2.42,Hilly,Sand,7.85,435.99,Night,3.51,1,0.00,10.00,9.37,108.67,161.71,No
T00007,Grading,GRD002,Grader,6,OP017,Intermediate,6,Sunny,21.72,48.19,10.27,Sandy,Sand,19.83,454.13,Afternoon,0.55,2,0.00,7.06,2.77,38.50,44.23,No
T00008,Digging,GRD001,Grader,6,OP010,Beginner,0,Foggy,25.12,38.11,7.58,Flat,Rock,38.09,186.47,Night,4.51,0,0.17,10.10,4.93,60.00,82.64,Yes
T00009,Demolition,EXC003,Excavator,5,OP010,Beginner,0,Cloudy,14.18,47.91,19.26,Rocky,Soil,35.80,166.64,Night,4.78,0,15.19,20.72,10.80,108.67,174.46,No
T00010,Digging,GRD002,Grader,6,OP009,Beginner,2,Windy,12.21,45.61,33.68,Rocky,Rock,23.11,458.87,Morning,6.19,2,11.70,12.69,6.06,63.25,97.85,No
T00011,Earth Excavation,BLD003,Bulldozer,5,OP006,Intermediate,6,Cloudy,23.19,57.19,11.76,Rocky,Rock,29.55,188.90,Afternoon,2.02,3,0.58,5.50,4.65,72.45,78.70,No
T00012,Earth Excavation,LDR002,Loader,4,OP001,Beginner,0,Sunny,19.51,77.75,7.40,Rocky,Debris,57.27,350.26,Morning,5.54,0,5.80,17.39,6.53,69.00,108.45,No
T00013,Grading,EXC002,Excavator,2,OP009,Beginner,2,Sunny,14.11,32.28,10.66,Hilly,Soil,13.37,271.45,Afternoon,6.85,3,2.96,5.89,3.52,40.25,66.62,No
T00014,Earth Excavation,LDR002,Loader,4,OP016,Expert,10,Cloudy,13.73,67.61,24.51,Rocky,Concrete,6.99,26.95,Night,0.68,2,9.89,4.06,3.91,72.45,70.33,No
T00015,Demolition,BLD003,Bulldozer,5,OP007,Intermediate,3,Rainy,18.80,68.36,17.26,Flat,Debris,57.37,147.95,Afternoon,5.53,2,3.63,11.50,8.13,103.50,128.47,No
T00016,Compacting,EXC003,Excavator,5,OP016,Expert,10,Rainy,19.46,91.53,13.47,Flat,Soil,36.94,92.63,Afternoon,3.17,3,4.43,8.36,3.27,63.25,62.66,No
T00017,Grading,BLD003,Bulldozer,5,OP003,Beginner,2,Cloudy,16.78,70.09,10.74,Muddy,Concrete,8.75,320.35,Evening,5.54,2,1.13,8.12,4.27,44.10,70.18,No
T00018,Compacting,BLD001,Bulldozer,2,OP016,Expert,10,Sunny,21.87,58.29,23.03,Hilly,Soil,24.49,466.20,Evening,1.19,2,0.89,2.43,2.52,63.25,54.23,No
T00019,Digging,LDR002,Loader,4,OP003,Beginner,2,Cloudy,25.18,28.50,15.47,Muddy,Soil,34.93,200.50,Afternoon,1.10,3,11.72,13.36,4.79,63.00,86.51,No
T00020,Lifting,CRN001,Crane,3,OP011,Intermediate,3,Sunny,30.09,54.44,9.83,Flat,Debris,18.36,357.89,Evening,2.79,0,11.28,4.51,2.28,40.00,44.75,No
T00021,Material Loading,GRD002,Grader,6,OP016,Expert,10,Cloudy,17.84,46.24,13.66,Rocky,Rock,37.63,426.02,Night,9.60,2,13.96,2.04,2.85,36.22,48.27,Yes
T00022,Digging,CRN001,Crane,3,OP017,Intermediate,6,Cloudy,21.51,41.15,3.29,Rocky,Concrete,56.93,432.76,Morning,8.12,3,1.75,9.61,3.80,60.37,79.08,No
T00023,Earth Excavation,CRN002,Crane,6,OP009,Beginner,2,Sunny,21.46,35.94,6.77,Sandy,Concrete,15.00,429.53,Night,6.14,2,8.18,12.12,6.53,66.00,102.97,No
T00024,Grading,BLD001,Bulldozer,2,OP002,Expert,10,Cloudy,23.85,42.70,0.00,Flat,Concrete,16.04,200.11,Evening,1.95,3,7.67,9.19,1.67,36.75,37.53,No
T00025,Trenching,CRN002,Crane,6,OP002,Expert,10,Sunny,29.68,54.29,2.45,Sandy,Soil,21.92,477.71,Evening,5.44,2,12.47,7.16,3.71,49.50,57.50,No
T00026,Lifting,EXC003,Excavator,5,OP014,Beginner,2,Sunny,15.74,47.02,10.03,Rocky,Rock,17.16,189.69,Evening,7.69,3,1.97,11.64,4.40,46.00,77.32,Yes
